DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,urban_pop_us,Num_Households,median_income,Subsidy,old_age_pop,CSUSHPISA_smoothed,Houses_smoothed,Cons_Material_smoothed,FEDFUNDS_smoothed,UNRATE_smoothed,EmpRate_smoothed
2008-05-01,166.65900000000002,2008,5,55562.666666666664,196464924.349443,10.7,215.208,5.4,71.2029905410887,195.8,1.98,80.4,116783.0,66280.0,29.876,12.7,168.35000000000002,10.500000000000002,191.5,2.2900000000000005,5.166666666666667,71.3451963073497
2008-06-01,165.017,2008,6,55420.333333333336,196572656.95004705,10.7,217.463,5.6,71.1271146045097,200.4,2.0,80.4,116783.0,66280.0,29.876,12.7,166.67133333333334,10.566666666666666,195.70000000000002,2.0866666666666673,5.333333333333333,71.25239496720727
2008-07-01,163.566,2008,7,55278.0,196674352.76027095,10.5,219.016,5.8,70.9372729752532,203.4,2.01,80.4,116783.0,66280.0,29.876,12.7,165.0806666666667,10.633333333333333,199.86666666666667,1.9966666666666668,5.6000000000000005,71.08912604028386
2008-08-01,161.987,2008,8,54832.333333333336,196811762.382218,11.3,218.69,6.1,70.7190251847728,206.5,2.0,80.4,116783.0,66280.0,29.876,12.7,163.52333333333334,10.833333333333334,203.4333333333333,2.0033333333333334,5.833333333333333,70.92780425484523
2008-09-01,160.308,2008,9,54386.666666666664,196984550.093428,10.9,218.877,6.1,70.540823791512,206.3,1.81,80.4,116783.0,66280.0,29.876,12.7,161.95366666666666,10.9,205.4,1.9400000000000002,6.0,70.732373983846
2008-10-01,158.327,2008,10,53941.0,197147398.688824,11.6,216.995,6.5,70.3949126003307,201.8,0.97,80.4,116783.0,66280.0,29.876,12.7,160.2073333333333,11.266666666666666,204.86666666666667,1.5933333333333337,6.233333333333333,70.55158719220516
2008-11-01,156.142,2008,11,53701.0,197282896.945071,11.4,213.153,6.8,69.9479148378307,199.6,0.39,80.4,116783.0,66280.0,29.876,12.7,158.25900000000001,11.300000000000002,202.5666666666667,1.0566666666666669,6.466666666666666,70.29455040989113
2008-12-01,153.619,2008,12,53461.0,197450491.660518,11.2,211.398,7.3,69.5581217375273,194.8,0.16,80.4,116783.0,66280.0,29.876,12.7,156.02933333333334,11.4,198.73333333333335,0.5066666666666669,6.866666666666667,69.9669830585629
2009-01-01,151.507,2009,1,53221.0,196957406.258437,12.2,211.933,7.8,69.0239915520256,193.3,0.15,80.6,117181.0,65850.0,32.883,12.9,153.756,11.6,195.9,0.23333333333333361,7.3,69.51000937579454
2009-02-01,150.015,2009,2,53153.0,197131242.151053,10.5,212.705,8.3,68.7232146359765,191.2,0.22,80.6,117181.0,65850.0,32.883,12.9,151.71366666666668,11.299999999999999,193.1,0.17666666666666697,7.8,69.10177597517647
2009-03-01,148.66,2009,3,53085.0,197297625.327139,11.0,212.495,8.7,68.2114764112269,190.2,0.18,80.6,117181.0,65850.0,32.883,12.9,150.06066666666666,11.233333333333334,191.5666666666667,0.1833333333333336,8.266666666666667,68.652894199743
2009-04-01,147.94899999999998,2009,4,53017.0,197764400.86352,10.7,212.709,9.0,68.1175033581794,188.1,0.15,80.6,117181.0,65850.0,32.883,12.9,148.87466666666666,10.733333333333334,189.83333333333334,0.18333333333333365,8.666666666666666,68.35073146846094
2009-05-01,147.694,2009,5,53038.333333333336,197891272.68780705,9.3,213.022,9.4,67.7649001785639,186.9,0.18,80.6,117181.0,65850.0,32.883,12.9,148.101,10.333333333333334,188.4,0.1700000000000003,9.033333333333333,68.03129331599007
2009-06-01,148.09,2009,6,53059.666666666664,197603408.54757705,8.5,214.79,9.5,67.8097728949934,187.1,0.21,80.6,117181.0,65850.0,32.883,12.9,147.911,9.5,187.36666666666667,0.18000000000000027,9.299999999999999,67.89739214391223
2009-07-01,148.41,2009,7,53081.0,197766275.014166,7.9,214.726,9.5,67.6999383608264,187.6,0.16,80.6,117181.0,65850.0,32.883,12.9,148.06466666666665,8.566666666666668,187.19999999999996,0.18333333333333365,9.466666666666667,67.75820381146123
2009-08-01,148.278,2009,8,53231.0,198114332.68621105,7.5,215.445,9.6,67.3297366610746,188.1,0.16,80.6,117181.0,65850.0,32.883,12.9,148.25933333333333,7.966666666666668,187.6,0.17666666666666697,9.533333333333333,67.61314930563147
2009-09-01,148.025,2009,9,53381.0,198363808.252616,7.8,215.861,9.8,66.8819393492895,189.3,0.15,80.6,117181.0,65850.0,32.883,12.9,148.23766666666666,7.733333333333334,188.33333333333334,0.15666666666666698,9.633333333333335,67.30387145706351
2009-10-01,147.85,2009,10,53531.0,198618252.04989,7.4,216.509,10.0,66.6074131026783,189.7,0.12,80.6,117181.0,65850.0,32.883,12.9,148.05100000000002,7.566666666666667,189.03333333333333,0.14333333333333362,9.799999999999999,66.93969637101412
2009-11-01,148.134,2009,11,53581.666666666664,198614188.035042,7.6,217.234,9.9,66.6757442290142,189.2,0.12,80.6,117181.0,65850.0,32.883,12.9,148.00300000000001,7.6000000000000005,189.39999999999998,0.1300000000000003,9.9,66.72169889366066
2009-12-01,147.929,2009,12,53632.333333333336,198623349.131128,8.0,217.347,9.9,66.4105191281779,189.4,0.12,80.6,117181.0,65850.0,32.883,12.9,147.971,7.666666666666667,189.4333333333333,0.12,9.933333333333334,66.5645588199568
2010-01-01,147.39600000000002,2010,1,53683.0,198065211.537052,8.1,217.488,9.8,66.7493004945554,190.3,0.11,80.8,117538.0,64300.0,32.669,13.0,147.81966666666668,7.900000000000001,189.63333333333333,0.11666666666666696,9.866666666666667,66.61185461724916
2010-02-01,145.631,2010,2,53822.0,198329647.91393203,8.3,217.281,9.8,66.7075195826625,192.2,0.13,80.8,117538.0,64300.0,32.669,13.0,146.98533333333333,8.133333333333333,190.63333333333335,0.12000000000000029,9.833333333333334,66.6224464017986
2010-03-01,145.859,2010,3,53961.0,198649626.007924,7.1,217.353,9.9,66.7296430527072,193.7,0.16,80.8,117538.0,64300.0,32.669,13.0,146.29533333333336,7.833333333333333,192.0666666666667,0.13333333333333364,9.833333333333334,66.72882104330837
2010-04-01,146.403,2010,4,54100.0,199115795.460867,6.2,217.403,9.9,66.8654314965522,196.5,0.2,80.8,117538.0,64300.0,32.669,13.0,145.96433333333334,7.2,194.13333333333333,0.16333333333333364,9.866666666666667,66.76753137730731
2010-05-01,146.394,2010,5,54200.333333333336,199224561.965077,9.3,217.29,9.6,66.7558477285922,198.9,0.2,80.8,117538.0,64300.0,32.669,13.0,146.21866666666668,7.533333333333334,196.36666666666667,0.18666666666666698,9.799999999999999,66.78364075928387
2010-06-01,145.721,2010,6,54300.666666666664,198998357.44226295,8.3,217.199,9.4,66.7510741748305,197.2,0.18,80.8,117538.0,64300.0,32.669,13.0,146.1726666666667,7.9333333333333345,197.53333333333333,0.1933333333333336,9.633333333333335,66.79078446665831
2010-07-01,144.991,2010,7,54401.0,199104164.26996,8.9,217.605,9.4,66.7324437302398,195.6,0.18,80.8,117538.0,64300.0,32.669,13.0,145.70200000000003,8.833333333333334,197.23333333333335,0.18666666666666698,9.466666666666667,66.74645521122083
2010-08-01,143.916,2010,8,54457.0,199358427.096852,8.8,217.923,9.5,66.7833483131096,194.1,0.19,80.8,117538.0,64300.0,32.669,13.0,144.876,8.666666666666668,195.63333333333333,0.1833333333333336,9.433333333333332,66.75562207272664
2010-09-01,143.019,2010,9,54513.0,199592944.422734,7.6,218.275,9.5,66.6605343882294,193.9,0.19,80.8,117538.0,64300.0,32.669,13.0,143.97533333333334,8.433333333333335,194.5333333333333,0.18666666666666698,9.466666666666667,66.7254421438596
